point_id:region_id:country_id:gmt_add:point_name_en:point_name_trim_en:point_name2_en:point_name_ru:point_name_trim_ru:point_name2_ru
100001:36:3:4::::Тарасово:Тарасово:в Тарасово
100002:36:3:4::::Пашино:Пашино:в Пашино
100003:36:3:4::::Залесье:Залесье:в Залесье
100004:36:3:4::::Паракино:Паракино:в Паракино
100005:36:3:4::::Симкинское Лесничество:Симкинское Лесничество:в Симкинском Лесничество
100006:36:3:4::::Пиксяси:Пиксяси:в Пиксяси
100007:36:3:4::::Селищи:Селищи:в Селищах
100008:36:3:4::::Мордовские Дубровки:Мордовские Дубровки:в Мордовских Дубровках
100009:36:3:4::::Сабанчеево:Сабанчеево:в Сабанчеево
100010:36:3:4::::Антоновка:Антоновка:в Антоновке
100011:36:3:4::::Кайбичево:Кайбичево:в Кайбичево
100012:36:3:4::::Черная Промза:Черная Промза:в Черной Промзе
100013:36:3:4::::Красная Поляна:Красная Поляна:в Красной Поляне
100014:36:3:4::::Дюрки:Дюрки:в Дюрках
100015:36:3:4::::Паранеи:Паранеи:в Паранеи
100016:36:3:4::::Ульяновка:Ульяновка:в Ульяновке
100017:36:3:4::::Михайловка:Михайловка:в Михайловке
100018:36:3:4::::Ардатово:Ардатово:в Ардатово
100019:36:3:4::::Петровка:Петровка:в Петровке
100020:36:3:4::::Енгалычево:Енгалычево:в Енгалычево
100021:36:3:4::::Манадыши:Манадыши:в Манадышах
100022:36:3:4::::Чиндяново:Чиндяново:в Чиндяново
100023:36:3:4::::Красные Луга:Красные Луга:в Красных Лугах
100024:36:3:4::::Пенькозавод:Пенькозавод:в Пенькозаводе
100025:36:3:4::::Красино:Красино:в Красино
100026:36:3:4::::Явлейка:Явлейка:в Явлейке
100027:36:3:4::::Осиповка:Осиповка:в Осиповке
100028:36:3:4::::Мордовские Сыреси:Мордовские Сыреси:в Мордовских Сыреси
100029:36:3:4::::Турдаково:Турдаково:в Турдаково
100030:36:3:4::::Кабаево:Кабаево:в Кабаево
100031:36:3:4::::Чеберчино:Чеберчино:в Чеберчино
100032:36:3:4::::Ливадка:Ливадка:в Ливадке
100033:36:3:4::::Сайнино:Сайнино:в Сайнино
100034:36:3:4::::Николаевка:Николаевка:в Николаевке
100035:36:3:4::::Пуркаево:Пуркаево:в Пуркаево
100036:71:3:4::::Плавица:Плавица:в Плавице
100037:73:3:4::::Щурово:Щурово:в Щурово
100038:73:3:4::::Оболенск:Оболенск:в Оболенске
100039:73:3:4::::Столбовая:Столбовая:в Столбовой
100040:73:3:4::::Мишеронский:Мишеронский:в Мишеронском
100041:73:3:4::::им. Цюрупы:им. Цюрупы:в им. Цюрупы
100042:73:3:4::::Большие Дворы:Большие Дворы:в Больших Дворах
100043:73:3:4::::Свердловский:Свердловский:в Свердловском
100044:73:3:4::::Киевский:Киевский:в Киевском
100045:73:3:4::::Муханово:Муханово:в Муханово
100046:73:3:4::::Скоропусковский:Скоропусковский:в Скоропусковском
100047:73:3:4::::Семхоз:Семхоз:в Семхозе
100048:73:3:4::::Некрасовский:Некрасовский:в Некрасовском
100049:58:3:4::::Чупрово:Чупрово:в Чупрово
