point_id:region_id:country_id:gmt_add:point_name_en:point_name_trim_en:point_name2_en:point_name_ru:point_name_trim_ru:point_name2_ru
250001:186:51:0:Lyme Regis:Lyme Regis:in Lyme Regis:::
250002:186:51:0:Lyons Gate:Lyons Gate:in Lyons Gate:::
250003:186:51:0:Rowsham:Rowsham:in Rowsham:::
250004:186:51:0:Maiden Newton:Maiden Newton:in Maiden Newton:::
250005:186:51:0:Mangerton:Mangerton:in Mangerton:::
250006:186:51:0:Mappowder:Mappowder:in Mappowder:::
250007:186:51:0:Marshwood:Marshwood:in Marshwood:::
250008:186:51:0:Martinstown:Martinstown:in Martinstown:::
250009:186:51:0:Melbury Bubb:Melbury Bubb:in Melbury Bubb:::
250010:186:51:0:Melbury Osmond:Melbury Osmond:in Melbury Osmond:::
250011:186:51:0:Melbury Sampford:Melbury Sampford:in Melbury Sampford:::
250012:186:51:0:Shabbington:Shabbington:in Shabbington:::
250013:186:51:0:Melcombe Horsey:Melcombe Horsey:in Melcombe Horsey:::
250014:186:51:0:Melplash:Melplash:in Melplash:::
250015:186:51:0:Middlemarsh:Middlemarsh:in Middlemarsh:::
250016:186:51:0:Milborne Wood:Milborne Wood:in Milborne Wood:::
250017:186:51:0:Minterne Magna:Minterne Magna:in Minterne Magna:::
250018:186:51:0:Minterne Parva:Minterne Parva:in Minterne Parva:::
250019:186:51:0:Moigne Combe:Moigne Combe:in Moigne Combe:::
250020:186:51:0:Monkton Wyld:Monkton Wyld:in Monkton Wyld:::
250021:186:51:0:Monkwood:Monkwood:in Monkwood:::
250022:186:51:0:Morcombelake:Morcombelake:in Morcombelake:::
250023:186:51:0:Shalstone:Shalstone:in Shalstone:::
250024:186:51:0:Mosterton:Mosterton:in Mosterton:::
250025:186:51:0:Muckleford:Muckleford:in Muckleford:::
250026:186:51:0:Nether Cerne:Nether Cerne:in Nether Cerne:::
250027:186:51:0:Nether Compton:Nether Compton:in Nether Compton:::
250028:186:51:0:Netherbury:Netherbury:in Netherbury:::
250029:186:51:0:Netherhay:Netherhay:in Netherhay:::
250030:186:51:0:Nettlecombe:Nettlecombe:in Nettlecombe:::
250031:186:51:0:North Bowood:North Bowood:in North Bowood:::
250032:186:51:0:North Chideock:North Chideock:in North Chideock:::
250033:186:51:0:North Poorton:North Poorton:in North Poorton:::
250034:186:51:0:Singleborough:Singleborough:in Singleborough:::
250035:186:51:0:North Wootton:North Wootton:in North Wootton:::
250036:186:51:0:Notton:Notton:in Notton:::
250037:186:51:0:Oathill:Oathill:in Oathill:::
250038:186:51:0:Oborne:Oborne:in Oborne:::
250039:186:51:0:Osmington:Osmington:in Osmington:::
250040:186:51:0:Osmington Mills:Osmington Mills:in Osmington Mills:::
250041:186:51:0:Over Compton:Over Compton:in Over Compton:::
250042:186:51:0:Owermoigne:Owermoigne:in Owermoigne:::
250043:186:51:0:Oxbridge:Oxbridge:in Oxbridge:::
250044:186:51:0:Piddlehinton:Piddlehinton:in Piddlehinton:::
250045:186:51:0:Slapton:Slapton:in Slapton:::
250046:186:51:0:Piddletrenthide:Piddletrenthide:in Piddletrenthide:::
250047:186:51:0:Pilsdon:Pilsdon:in Pilsdon:::
250048:186:51:0:Pinford:Pinford:in Pinford:::
250049:186:51:0:Plush:Plush:in Plush:::
250050:186:51:0:Portesham:Portesham:in Portesham:::
250051:186:51:0:Poundbury:Poundbury:in Poundbury:::
250052:186:51:0:Powerstock:Powerstock:in Powerstock:::
250053:186:51:0:Poxwell:Poxwell:in Poxwell:::
250054:186:51:0:Poyntington:Poyntington:in Poyntington:::
250055:186:51:0:Puddletown:Puddletown:in Puddletown:::
250056:186:51:0:Biddenham:Biddenham:in Biddenham:::
250057:186:51:0:Soulbury:Soulbury:in Soulbury:::
250058:186:51:0:Puncknowle:Puncknowle:in Puncknowle:::
250059:186:51:0:Purse Caundle:Purse Caundle:in Purse Caundle:::
250060:186:51:0:Pymore:Pymore:in Pymore:::
250061:186:51:0:Rampisham:Rampisham:in Rampisham:::
250062:186:51:0:Rampisham Down:Rampisham Down:in Rampisham Down:::
250063:186:51:0:Ridgeway:Ridgeway:in Ridgeway:::
250064:186:51:0:Ringstead:Ringstead:in Ringstead:::
250065:186:51:0:Rodden:Rodden:in Rodden:::
250066:186:51:0:Rousdon:Rousdon:in Rousdon:::
250067:186:51:0:Ryall:Ryall:in Ryall:::
250068:186:51:0:Steeple Claydon:Steeple Claydon:in Steeple Claydon:::
250069:186:51:0:Ryme Intrinseca:Ryme Intrinseca:in Ryme Intrinseca:::
250070:186:51:0:Salwayash:Salwayash:in Salwayash:::
250071:186:51:0:Sandford Orcas:Sandford Orcas:in Sandford Orcas:::
250072:186:51:0:School House:School House:in School House:::
250073:186:51:0:Seaborough:Seaborough:in Seaborough:::
250074:186:51:0:Seatown:Seatown:in Seatown:::
250075:186:51:0:Seven Ash Common:Seven Ash Common:in Seven Ash Common:::
250076:186:51:0:Shave Cross:Shave Cross:in Shave Cross:::
250077:186:51:0:Sherborne:Sherborne:in Sherborne:::
250078:186:51:0:Shilvinghampton:Shilvinghampton:in Shilvinghampton:::
250079:186:51:0:Stewkley:Stewkley:in Stewkley:::
250080:186:51:0:Shipton Gorge:Shipton Gorge:in Shipton Gorge:::
250081:186:51:0:Silverlake:Silverlake:in Silverlake:::
250082:186:51:0:South Bowood:South Bowood:in South Bowood:::
250083:186:51:0:South Perrott:South Perrott:in South Perrott:::
250084:186:51:0:Stinsford:Stinsford:in Stinsford:::
250085:186:51:0:Stockbridge:Stockbridge:in Stockbridge:::
250086:186:51:0:Stockwood:Stockwood:in Stockwood:::
250087:186:51:0:Stoke Abbott:Stoke Abbott:in Stoke Abbott:::
250088:186:51:0:Stratton:Stratton:in Stratton:::
250089:186:51:0:Stockgrove:Stockgrove:in Stockgrove:::
250090:186:51:0:Sturthill:Sturthill:in Sturthill:::
250091:186:51:0:Swyre:Swyre:in Swyre:::
250092:186:51:0:Sydling St Nicholas:Sydling St Nicholas:in Sydling St Nicholas:::
250093:186:51:0:Symondsbury:Symondsbury:in Symondsbury:::
250094:186:51:0:Tatton:Tatton:in Tatton:::
250095:186:51:0:Templemans Ash:Templemans Ash:in Templemans Ash:::
250096:186:51:0:Thorncombe:Thorncombe:in Thorncombe:::
250097:186:51:0:Thornford:Thornford:in Thornford:::
250098:186:51:0:Tincleton:Tincleton:in Tincleton:::
250099:186:51:0:Toller Fratrum:Toller Fratrum:in Toller Fratrum:::
250100:186:51:0:Stoke Hammond:Stoke Hammond:in Stoke Hammond:::
250101:186:51:0:Toller Porcorum:Toller Porcorum:in Toller Porcorum:::
250102:186:51:0:Toller Whelme:Toller Whelme:in Toller Whelme:::
250103:186:51:0:Tollerford:Tollerford:in Tollerford:::
250104:186:51:0:Tolpuddle:Tolpuddle:in Tolpuddle:::
250105:186:51:0:Town Hill:Town Hill:in Town Hill:::
250106:186:51:0:Trent:Trent:in Trent:::
250107:186:51:0:Troytown:Troytown:in Troytown:::
250108:186:51:0:Tytherleigh:Tytherleigh:in Tytherleigh:::
250109:186:51:0:Up Cerne:Up Cerne:in Up Cerne:::
250110:186:51:0:Up Sydling:Up Sydling:in Up Sydling:::
250111:186:51:0:Stone:Stone:in Stone:::
250112:186:51:0:Uploders:Uploders:in Uploders:::
250113:186:51:0:Uplyme:Uplyme:in Uplyme:::
250114:186:51:0:Upton Fort:Upton Fort:in Upton Fort:::
250115:186:51:0:Waddon:Waddon:in Waddon:::
250116:186:51:0:Walditch:Walditch:in Walditch:::
250117:186:51:0:Wardon Hill:Wardon Hill:in Wardon Hill:::
250118:186:51:0:Warmwell:Warmwell:in Warmwell:::
250119:186:51:0:Watercombe:Watercombe:in Watercombe:::
250120:186:51:0:Waterston:Waterston:in Waterston:::
250121:186:51:0:Watton:Watton:in Watton:::
250122:186:51:0:Stowe:Stowe:in Stowe:::
250123:186:51:0:Waytown:Waytown:in Waytown:::
250124:186:51:0:West Allington:West Allington:in West Allington:::
250125:186:51:0:West Bay:West Bay:in West Bay:::
250126:186:51:0:West Bexington:West Bexington:in West Bexington:::
250127:186:51:0:West Chelborough:West Chelborough:in West Chelborough:::
250128:186:51:0:West Compton:West Compton:in West Compton:::
250129:186:51:0:West Knighton:West Knighton:in West Knighton:::
250130:186:51:0:West Milton:West Milton:in West Milton:::
250131:186:51:0:West Stafford:West Stafford:in West Stafford:::
250132:186:51:0:Whitchurch Canonicorum:Whitchurch Canonicorum:in Whitchurch Canonicorum:::
250133:186:51:0:Swanbourne:Swanbourne:in Swanbourne:::
250134:186:51:0:Whitcombe:Whitcombe:in Whitcombe:::
250135:186:51:0:Winterborne Monkton:Winterborne Monkton:in Winterborne Monkton:::
