point_id:region_id:country_id:gmt_add:point_name_en:point_name_trim_en:point_name2_en:point_name_ru:point_name_trim_ru:point_name2_ru
347688:3231:151::Punnichy:Punnichy:in Punnichy:::
347689:3231:151::Quill Lake:Quill Lake:in Quill Lake:::
347690:3231:151::Quinton:Quinton:in Quinton:::
347691:3231:151::Raymore:Raymore:in Raymore:::
347692:3231:151::Semans:Semans:in Semans:::
347693:3231:151::Tuffnell:Tuffnell:in Tuffnell:::
347694:3231:151::Watson:Watson:in Watson:::
347695:3231:151::West Bend:West Bend:in West Bend:::
347696:3231:151::Wishart:Wishart:in Wishart:::
347697:3231:151::Avonlea:Avonlea:in Avonlea:::
347698:3231:151::Beaubier:Beaubier:in Beaubier:::
347699:3231:151::Bengough:Bengough:in Bengough:::
347700:3231:151::Big Beaver:Big Beaver:in Big Beaver:::
347701:3231:151::Bromhead:Bromhead:in Bromhead:::
347702:3231:151::Ceylon:Ceylon:in Ceylon:::
347703:3231:151::Claybank:Claybank:in Claybank:::
347704:3231:151::Colfax:Colfax:in Colfax:::
347705:3231:151::Colgate:Colgate:in Colgate:::
347706:3231:151::Creelman:Creelman:in Creelman:::
347707:3231:151::Dummer:Dummer:in Dummer:::
347708:3231:151::Fillmore:Fillmore:in Fillmore:::
347709:3231:151::Gladmar:Gladmar:in Gladmar:::
347710:3231:151::Glasnevin:Glasnevin:in Glasnevin:::
347711:3231:151::Goodwater:Goodwater:in Goodwater:::
347712:3231:151::Griffin:Griffin:in Griffin:::
347713:3231:151::Halbrite:Halbrite:in Halbrite:::
347714:3231:151::Kayville:Kayville:in Kayville:::
347715:3231:151::Khedive:Khedive:in Khedive:::
347716:3231:151::Lake Alma:Lake Alma:in Lake Alma:::
347717:3231:151::Lang:Lang:in Lang:::
347718:3231:151::Lewvan:Lewvan:in Lewvan:::
347719:3231:151::Macoun:Macoun:in Macoun:::
347720:3231:151::McTaggart:McTaggart:in McTaggart:::
347721:3231:151::Midale:Midale:in Midale:::
347722:3231:151::Milestone:Milestone:in Milestone:::
347723:3231:151::Minton:Minton:in Minton:::
347724:3231:151::Northgate:Northgate:in Northgate:::
347725:3231:151::Ogema:Ogema:in Ogema:::
347726:3231:151::Osage:Osage:in Osage:::
347727:3231:151::Oungre:Oungre:in Oungre:::
347728:3231:151::Pangman:Pangman:in Pangman:::
347729:3231:151::Parry:Parry:in Parry:::
347730:3231:151::Radville:Radville:in Radville:::
347731:3231:151::Torquay:Torquay:in Torquay:::
347732:3231:151::Tribune:Tribune:in Tribune:::
347733:3231:151::Trossachs:Trossachs:in Trossachs:::
347734:3231:151::Truax:Truax:in Truax:::
347735:3231:151::Tyvan:Tyvan:in Tyvan:::
347736:3232:151::Atikameg:Atikameg:in Atikameg:::
347737:3231:151::Yellow Grass:Yellow Grass:in Yellow Grass:::
347738:3231:151::Arran:Arran:in Arran:::
347739:3231:151::Buchanan:Buchanan:in Buchanan:::
347740:3231:151::Calder:Calder:in Calder:::
347741:3231:151::Canora:Canora:in Canora:::
347742:3231:151::Danbury:Danbury:in Danbury:::
347743:3231:151::Ebenezer:Ebenezer:in Ebenezer:::
347744:3231:151::Endeavour:Endeavour:in Endeavour:::
347745:3231:151::Hazel Dell:Hazel Dell:in Hazel Dell:::
347746:3231:151::Hyas:Hyas:in Hyas:::
347747:3231:151::Insinger:Insinger:in Insinger:::
347748:3231:151::Invermay:Invermay:in Invermay:::
347749:3231:151::Jedburgh:Jedburgh:in Jedburgh:::
347750:3231:151::Kamsack:Kamsack:in Kamsack:::
347751:3231:151::Lintlaw:Lintlaw:in Lintlaw:::
347752:3231:151::Mikado:Mikado:in Mikado:::
347753:3231:151::Norquay:Norquay:in Norquay:::
347754:3231:151::Okla:Okla:in Okla:::
347755:3231:151::Parkerview:Parkerview:in Parkerview:::
347756:3231:151::Pelly:Pelly:in Pelly:::
347757:3231:151::Preeceville:Preeceville:in Preeceville:::
347758:3231:151::Rama:Rama:in Rama:::
347759:3231:151::Rhein:Rhein:in Rhein:::
347760:3231:151::Rokeby:Rokeby:in Rokeby:::
347761:3231:151::Runnymede:Runnymede:in Runnymede:::
347762:3231:151::Sheho:Sheho:in Sheho:::
347763:3231:151::Springside:Springside:in Springside:::
347764:3231:151::Stenen:Stenen:in Stenen:::
347765:3231:151::Stornoway:Stornoway:in Stornoway:::
347766:3231:151::Sturgis:Sturgis:in Sturgis:::
347767:3231:151::Theodore:Theodore:in Theodore:::
347768:3231:151::Togo:Togo:in Togo:::
347769:3231:151::Veregin:Veregin:in Veregin:::
347770:3231:151::Willowbrook:Willowbrook:in Willowbrook:::
347771:3231:151::Wroxton:Wroxton:in Wroxton:::
347772:3232:151::Bear Canyon:Bear Canyon:in Bear Canyon:::
347773:3235:151::Beaver Creek:Beaver Creek:in Beaver Creek:::
347774:3235:151::Burwash Landing:Burwash Landing:in Burwash Landing:::
347775:3235:151::Carcross:Carcross:in Carcross:::
347776:3235:151::Carmacks:Carmacks:in Carmacks:::
