point_id:region_id:country_id:gmt_add:point_name_en:point_name_trim_en:point_name2_en:point_name_ru:point_name_trim_ru:point_name2_ru
86479:60:3:4::::Левино:Левино:в Левино
86480:60:3:4::::Залесье:Залесье:в Залесье
86481:56:3:4::::Соколово:Соколово:в Соколово
86482:60:3:4::::Подлесново:Подлесново:в Подлесново
86483:60:3:4::::Помогалово:Помогалово:в Помогалово
86484:60:3:4::::Кочкино:Кочкино:в Кочкино
86485:56:3:4::::Светлый:Светлый:в Светлом
86486:60:3:4::::Верзякино:Верзякино:в Верзякино
86487:60:3:4::::Шоготово:Шоготово:в Шоготово
86488:60:3:4::::Терехово:Терехово:в Терехово
86489:60:3:4::::Федуриха:Федуриха:в Федурихе
86490:60:3:4::::Кожевниково:Кожевниково:в Кожевниково
86491:60:3:4::::Гарино:Гарино:в Гарино
86492:60:3:4::::Чихачево:Чихачево:в Чихачево
86493:60:3:4::::Князьково:Князьково:в Князьково
86494:60:3:4::::Козицыно:Козицыно:в Козицыно
86495:60:3:4::::Зубариха:Зубариха:в Зубарихе
86496:60:3:4::::Сахарово:Сахарово:в Сахарово
86497:60:3:4::::Старилово:Старилово:в Старилово
86498:56:3:4::::Шаблыкино:Шаблыкино:в Шаблыкино
86499:56:3:4::::Маевка:Маевка:в Маевке
86500:60:3:4::::Паршуково:Паршуково:в Паршуково
86501:60:3:4::::Тимино:Тимино:в Тимино
86502:56:3:4::::Данилково (Лизуновский сельсовет):Данилково:в Данилково
86503:60:3:4::::Лыткино:Лыткино:в Лыткино
86504:60:3:4::::Зарубино:Зарубино:в Зарубино
86505:60:3:4::::Болобино:Болобино:в Болобино
86506:60:3:4::::Мальяново:Мальяново:в Мальяново
86507:60:3:4::::Кузьминка:Кузьминка:в Кузьминках
86508:56:3:4::::Горки (Майский сельсовет):Горки:в Горках
86509:60:3:4::::Андреиха:Андреиха:в Андреихе
86510:60:3:4::::Худяково:Худяково:в Худяково
86511:56:3:4::::Степково:Степково:в Степково
86512:60:3:4::::Утка:Утка:в Утке
86513:60:3:4::::Трухино:Трухино:в Трухино
86514:60:3:4::::Кокуша:Кокуша:в Кокуше
86515:60:3:4::::Луканино:Луканино:в Луканино
86516:60:3:4::::Поляково:Поляково:в Поляково
86517:60:3:4::::Семеново:Семеново:в Семеново
86518:60:3:4::::Иевино:Иевино:в Иевино
86519:60:3:4::::Колобята:Колобята:в Колобяте
86520:60:3:4::::Филята:Филята:в Филяте
86521:60:3:4::::Струнята:Струнята:в Струняте
86522:60:3:4::::Борисово:Борисово:в Борисово
86523:60:3:4::::Гомозята:Гомозята:в Гомозяте
86524:60:3:4::::Лариковка:Лариковка:в Лариковке
86525:60:3:4::::Галашово:Галашово:в Галашово
86526:60:3:4::::Черепово:Черепово:в Черепово
86527:60:3:4::::Терехино:Терехино:в Терехино
86528:60:3:4::::Шлыково:Шлыково:в Шлыково
86529:60:3:4::::Тимагино:Тимагино:в Тимагино
86530:60:3:4::::Шалаево:Шалаево:в Шалаево
86531:60:3:4::::Родино:Родино:в Родино
86532:60:3:4::::Шестаково:Шестаково:в Шестаково
86533:60:3:4::::Марамоново:Марамоново:в Марамоново
86534:60:3:4::::Петрушино:Петрушино:в Петрушино
86535:56:3:4::::Козловка:Козловка:в Козловке
86536:60:3:4::::Мешалкино:Мешалкино:в Мешалкино
86537:60:3:4::::Быково:Быково:в Быково
86538:60:3:4::::Вашеевская:Вашеевская:в Вашеевской
86539:60:3:4::::Есипово:Есипово:в Есипово
86540:8:2:6::::Кенесары:Кенесары:в Кенесарах
86541:60:3:4::::Холмы:Холмы:в Холмах
86542:60:3:4::::Васьково:Васьково:в Васьково
86543:60:3:4::::Кленки:Кленки:в Кленках
86544:60:3:4::::Гоголи:Гоголи:в Гоголи
86545:60:3:4::::Тарасиха:Тарасиха:в Тарасихе
86546:60:3:4::::Горки:Горки:в Горках
86547:60:3:4::::Груздево:Груздево:в Груздево
86548:60:3:4::::Кашино:Кашино:в Кашино
86549:60:3:4::::Петушки:Петушки:в Петушках
86550:60:3:4::::Пашки:Пашки:в Пашках
86551:60:3:4::::Истоки:Истоки:в Истоках
86552:60:3:4::::Легково:Легково:в Легково
86553:60:3:4::::Шиловская:Шиловская:в Шиловской
86554:60:3:4::::Ручей:Ручей:в Ручье
86555:60:3:4::::Варашино:Варашино:в Варашино
86556:60:3:4::::Ванюково:Ванюково:в Ванюково
86557:60:3:4::::Пешково:Пешково:в Пешково
86558:60:3:4::::Панкратиха:Панкратиха:в Панкратихе
86559:60:3:4::::Бокари:Бокари:в Бокарях
86560:60:3:4::::Паново:Паново:в Паново
86561:60:3:4::::Федорково:Федорково:в Федорково
86562:60:3:4::::Ильинское:Ильинское:в Ильинском
86563:56:3:4::::Налескино:Налескино:в Налескино
86564:60:3:4::::Щипачево:Щипачево:в Щипачево
86565:60:3:4::::Тайманиха:Тайманиха:в Тайманихе
86566:60:3:4::::Высоково:Высоково:в Высоково
86567:60:3:4::::Четверкино:Четверкино:в Четверкино
86568:56:3:4::::Новоселка:Новоселка:в Новоселке
86569:56:3:4::::Троицкое-Татарово:Троицкое-Татарово:в Троицком-Татарово
86570:56:3:4::::Коширино:Коширино:в Коширино
86571:60:3:4::::Тушиха:Тушиха:в Тушихе
86572:60:3:4::::Плосково:Плосково:в Плосково
86573:60:3:4::::Артемьево:Артемьево:в Артемьево
86574:60:3:4::::Пестово (Пановский сельсовет):Пестово:в Пестово
86575:56:3:4::::Марьино:Марьино:в Марьино
86576:56:3:4::::Федурники:Федурники:в Федурниках
86577:56:3:4::::Селище:Селище:в Селище
86578:60:3:4::::Савинская:Савинская:в Савинской
86579:60:3:4::::Теплово:Теплово:в Теплово
86580:60:3:4::::Струбищи:Струбищи:в Струбищах
86581:60:3:4::::Бабино:Бабино:в Бабино
86582:60:3:4::::Толпыгино:Толпыгино:в Толпыгино
86583:60:3:4::::Травино:Травино:в Травино
86584:60:3:4::::Мешаловка:Мешаловка:в Мешаловке
86585:60:3:4::::Егорий:Егорий:в Егории
86586:60:3:4::::Дорожаево:Дорожаево:в Дорожаево
